state,Obligated but not Spent ($mil),Unobligated and Unspent 2018
Alabama,$0.0,$86.4
Alaska,$0.0,$36.3
Arizona,$0.0,$49.4
Arkansas,$20.4,$53.4
California,$257.8,$0.0
Colorado,$0.0,$104.5
Connecticut,$0.0,$0.0
Delaware,$0.6,$14.1
District of Columbia,$0.0,$48.7
Florida,$15.9,$0.0
Georgia,$10.7,$66.8
Hawaii,$20.7,$280.6
Idaho,$0.0,$13.8
Illinois,$0.0,$0.0
Indiana,$13.7,$50.8
Iowa,$0.7,$0.0
Kansas,$2.0,$73.8
Kentucky,$0.0,$63.8
Louisiana,$9.5,$0.0
Maine,$14.2,$130.8
Maryland,$0.0,$8.6
Massachusetts,$0.0,$0.0
Michigan,$0.0,$56.1
Minnesota,$0.0,$58.0
Mississippi,$0.0,$8.4
Missouri,$0.0,$5.3
Montana,$0.0,$15.6
Nebraska,$0.0,$70.4
Nevada,$0.0,$32.8
New Hampshire,$0.0,$55.4
New Jersey,$10.9,$11.1
New Mexico,$0.0,$88.7
New York,$34.1,$513.3
North Carolina,$51.1,$0.0
North Dakota,$1.9,$0.0
Ohio,$542.3,$0.5
Oklahoma,$134.5,$0.0
Oregon,$0.0,$13.8
Pennsylvania,$77.4,$430.7
Rhode Island,$0.0,$16.8
South Carolina,$0.0,$0.0
South Dakota,$0.0,$19.6
Tennessee,$0.0,$570.7
Texas,$204.9,$123.5
Utah,$0.0,$60.6
Vermont,$0.0,$0.0
Virginia,$6.9,$133.9
Washington,$0.0,$48.4
West Virginia,$0.0,$74.6
Wisconsin,$0.0,$175.6
Wyoming,$4.5,$25.4
